12.74,13.67,0.8564,5.395,2.956,2.504,4.869,1
19.15,16.45,0.889,6.245,3.815,3.084,6.185,2
18.83,16.29,0.8917,6.037,3.786,2.553,5.879,2
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,1
20.03,16.9,0.8811,6.493,3.857,3.063,6.32,2
13.8,14.04,0.8794,5.376,3.155,1.56,4.961,1
13.22,13.84,0.868,5.395,3.07,4.157,5.088,1
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,2
15.26,14.84,0.871,5.763,3.312,2.221,5.22,1
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,1
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,2
12.1,13.15,0.8793,5.105,2.941,2.201,5.056,3
15.6,15.11,0.858,5.832,3.286,2.725,5.752,2
14.43,14.4,0.8751,5.585,3.272,3.975,5.144,1
20.97,17.25,0.8859,6.563,3.991,4.677,6.316,2
20.2,16.89,0.8894,6.285,3.864,5.173,6.187,2
18.17,16.26,0.8637,6.271,3.512,2.853,6.273,2
18.75,16.18,0.8999,6.111,3.869,4.188,5.992,2
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,2
15.01,14.76,0.8657,5.789,3.245,1.791,5.001,1
15.26,14.85,0.8696,5.714,3.242,4.543,5.314,1
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,2
14.46,14.35,0.8818,5.388,3.377,2.802,5.044,1
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,1
12.11,13.47,0.8392,5.159,3.032,1.502,4.519,1
12.8,13.47,0.886,5.16,3.126,4.873,4.914,3
15.03,14.77,0.8658,5.702,3.212,1.933,5.439,1
17.63,15.86,0.88,6.033,3.573,3.747,5.929,2
11.23,12.63,0.884,4.902,2.879,2.269,4.703,1
19.31,16.59,0.8815,6.341,3.81,3.477,6.238,2
14.34,14.37,0.8726,5.63,3.19,1.313,5.15,1
14.92,14.43,0.9006,5.384,3.412,1.142,5.088,1
10.93,12.8,0.839,5.046,2.717,5.398,5.045,3
18.72,16.19,0.8977,6.006,3.857,5.324,5.879,2
12.02,13.33,0.8503,5.35,2.81,4.271,5.308,3
14.59,14.28,0.8993,5.351,3.333,4.185,4.781,1
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,3
10.8,12.57,0.859,4.981,2.821,4.773,5.063,3
15.05,14.68,0.8779,5.712,3.328,2.129,5.36,1
11.49,13.22,0.8263,5.304,2.695,5.388,5.31,3
18.88,16.26,0.8969,6.084,3.764,1.649,6.109,2
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,1
18.81,16.29,0.8906,6.272,3.693,3.237,6.053,2
20.1,16.99,0.8746,6.581,3.785,1.955,6.449,2
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,3
15.99,14.89,0.9064,5.363,3.582,3.336,5.144,2
19.18,16.63,0.8717,6.369,3.681,3.357,6.229,2
18.98,16.57,0.8687,6.449,3.552,2.144,6.453,2
19.06,16.45,0.8854,6.416,3.719,2.248,6.163,2
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,1
16.2,15.27,0.8734,5.826,3.464,2.823,5.527,1
12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3
12.38,13.44,0.8609,5.219,2.989,5.472,5.045,3
16.53,15.34,0.8823,5.875,3.467,5.532,5.88,2
18.94,16.32,0.8942,6.144,3.825,2.908,5.949,2
18.98,16.66,0.859,6.549,3.67,3.691,6.498,2
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,1
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,3
11.18,12.72,0.868,5.009,2.81,4.051,4.828,3
19.57,16.74,0.8779,6.384,3.772,1.472,6.273,2
11.48,13.05,0.8473,5.18,2.758,5.876,5.002,3
12.62,13.67,0.8481,5.41,2.911,3.306,5.231,3
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,3
13.74,14.05,0.8744,5.482,3.114,2.932,4.825,1
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,3
11.23,12.82,0.8594,5.089,2.821,7.524,4.957,3
12.15,13.45,0.8443,5.417,2.837,3.638,5.338,3
18.43,15.97,0.9077,5.98,3.771,2.984,5.905,2
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,2
10.83,12.96,0.8099,5.278,2.641,5.182,5.185,3
16.23,15.18,0.885,5.872,3.472,3.769,5.922,2
19.13,16.31,0.9035,6.183,3.902,2.109,5.924,2
18.3,15.89,0.9108,5.979,3.755,2.837,5.962,2
12.49,13.46,0.8658,5.267,2.967,4.421,5.002,3
17.99,15.86,0.8992,5.89,3.694,2.068,5.837,2
10.91,12.8,0.8372,5.088,2.675,4.179,4.956,3
12.88,13.5,0.8879,5.139,3.119,2.352,4.607,1
12.73,13.75,0.8458,5.412,2.882,3.533,5.067,1
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,2
10.59,12.41,0.8648,4.899,2.787,4.975,4.794,3
18.27,16.09,0.887,6.173,3.651,2.443,6.197,2
14.29,14.09,0.905,5.291,3.337,2.699,4.825,1
16.63,15.46,0.8747,6.053,3.465,2.04,5.877,1
14.01,14.29,0.8625,5.609,3.158,2.217,5.132,1
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,2
14.99,14.56,0.8883,5.57,3.377,2.958,5.175,1
14.33,14.28,0.8831,5.504,3.199,3.328,5.224,1
16.87,15.65,0.8648,6.139,3.463,3.696,5.967,2
11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3
20.24,16.91,0.8897,6.315,3.962,5.901,6.188,2
10.82,12.83,0.8256,5.18,2.63,4.853,5.089,3
12.55,13.57,0.8558,5.333,2.968,4.419,5.176,3
18.36,16.52,0.8452,6.666,3.485,4.933,6.448,2
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,1
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,1
11.18,13.04,0.8266,5.22,2.693,3.332,5.001,3
11.41,12.95,0.856,5.09,2.775,4.957,4.825,3
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1
